CBSA Code,CBSA,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg,Year
39020,"Portsmouth, OH",,,,,,,42.0,23.0,4.0,29.0,12.9,37.0,19.0,,2004
41400,"Salem, OH",,,,,,,170.0,61.0,7.0,,,67.0,31.0,,2004
44220,"Springfield, OH",,,,,0.09,0.079,42.0,21.0,5.0,32.0,13.5,,,,2004
45660,"Tiffin, OH",,,,,,,,,,,,42.0,18.0,,2004
45780,"Toledo, OH",,,,,0.09,0.078,85.0,28.0,7.0,34.0,13.7,69.0,22.0,,2004
48260,"Weirton-Steubenville, WV-OH",22.0,12.0,,,0.09,0.073,236.0,98.0,15.0,52.0,16.6,108.0,30.0,,2004
48540,"Wheeling, WV-OH",2.9,1.7,,,0.08,0.063,175.0,44.0,13.0,35.0,14.4,53.0,22.0,,2004
48940,"Wilmington, OH",,,,,0.09,0.078,,,,,,,,,2004
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.09,0.08,55.0,21.0,5.0,36.0,14.7,46.0,21.0,,2004
10420,"Akron, OH",3.1,1.7,,,0.11,0.092,140.0,37.0,8.0,45.0,16.4,,,,2005
11780,"Ashtabula, OH",,,,,0.1,0.093,39.0,20.0,4.0,,,,,,2005
11900,"Athens, OH",,,,,,,,,,33.0,13.3,,,,2005
13340,"Bellefontaine, OH",,,,,,,,,,,,,,,2005
15940,"Canton-Massillon, OH",3.8,2.7,,,0.1,0.086,,,,43.0,16.6,,,,2005
17140,"Cincinnati, OH-KY-IN",3.2,1.8,71.0,21.0,0.12,0.092,166.0,36.0,9.0,51.0,20.0,59.0,28.0,,2005
17460,"Cleveland-Elyria, OH",15.9,3.1,68.0,22.0,0.13,0.097,193.0,77.0,10.0,51.0,19.4,115.0,41.0,,2005
18140,"Columbus, OH",4.2,2.0,,,0.11,0.092,55.0,28.0,4.0,45.0,16.5,85.0,35.0,,2005
19380,"Dayton, OH",2.8,1.8,,,0.1,0.083,,,,45.0,17.4,60.0,28.0,,2005
22300,"Findlay, OH",,,,,,,,,,,,42.0,23.0,,2005
26580,"Huntington-Ashland, WV-KY-OH",,,78.0,15.0,0.1,0.082,75.0,71.0,9.0,41.0,18.1,72.0,33.0,,2005
30620,"Lima, OH",,,,,0.09,0.081,27.0,15.0,3.0,,,42.0,25.0,,2005
31930,"Marietta, OH",,,,,0.1,0.088,,,,,,,,,2005
34540,"Mount Vernon, OH",,,,,0.1,0.081,,,,,,,,,2005
35420,"New Philadelphia-Dover, OH",,,,,,,77.0,28.0,8.0,,,,,,2005
38580,"Point Pleasant, WV-OH",,,,,,,100.0,27.0,6.0,,,,,,2005
39020,"Portsmouth, OH",,,,,,,69.0,22.0,4.0,40.0,16.2,152.0,32.0,,2005
41400,"Salem, OH",,,,,,,129.0,36.0,6.0,,,77.0,34.0,,2005
44220,"Springfield, OH",,,,,0.1,0.086,50.0,24.0,4.0,42.0,16.7,,,,2005
45780,"Toledo, OH",,,,,0.12,0.087,70.0,23.0,5.0,45.0,15.8,68.0,21.0,,2005
48260,"Weirton-Steubenville, WV-OH",9.2,4.4,,,0.1,0.083,224.0,77.0,14.0,45.0,18.1,98.0,33.0,,2005
48540,"Wheeling, WV-OH",,,,,0.1,0.089,190.0,36.0,12.0,32.0,16.2,,,,2005
48940,"Wilmington, OH",,,,,0.11,0.083,,,,,,,,,2005
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.11,0.087,71.0,22.0,5.0,45.0,16.9,65.0,25.0,,2005
10420,"Akron, OH",2.6,1.8,,,0.09,0.077,138.0,38.0,7.0,32.0,13.5,,,,2006
11780,"Ashtabula, OH",,,,,0.11,0.086,40.0,15.0,3.0,,,,,,2006
11900,"Athens, OH",,,,,,,,,,30.0,11.8,,,,2006
13340,"Bellefontaine, OH",,,,,,,,,,,,,,,2006
15940,"Canton-Massillon, OH",3.3,2.2,,,0.09,0.079,,,,,,,,,2006
17140,"Cincinnati, OH-KY-IN",9.9,3.0,56.0,18.0,0.11,0.086,108.0,28.0,5.0,36.0,15.9,53.0,24.0,,2006
17460,"Cleveland-Elyria, OH",7.3,3.9,58.0,18.0,0.1,0.083,172.0,57.0,8.0,36.0,15.0,76.0,28.0,,2006
18140,"Columbus, OH",2.9,2.1,,,0.09,0.082,37.0,11.0,3.0,34.0,13.6,64.0,27.0,,2006
19380,"Dayton, OH",4.2,1.9,,,0.1,0.079,,,,30.0,13.6,45.0,22.0,,2006
22300,"Findlay, OH",,,,,,,,,,,,40.0,24.0,,2006
26580,"Huntington-Ashland, WV-KY-OH",,,,10.0,0.1,0.081,70.0,29.0,7.0,31.0,15.0,72.0,34.0,,2006
30620,"Lima, OH",,,,,0.09,0.075,22.0,9.0,2.0,,,28.0,21.0,,2006
31930,"Marietta, OH",,,,,0.1,0.081,,,,,,57.0,25.0,,2006
34540,"Mount Vernon, OH",,,,,0.09,0.075,,,,,,,,,2006
35420,"New Philadelphia-Dover, OH",,,,,,,61.0,18.0,5.0,,,,,,2006
38580,"Point Pleasant, WV-OH",,,,,,,110.0,34.0,5.0,,,,,,2006
39020,"Portsmouth, OH",,,,,,,49.0,13.0,3.0,31.0,14.3,57.0,20.0,,2006
41400,"Salem, OH",,,,,,,107.0,29.0,4.0,,,72.0,30.0,,2006
44220,"Springfield, OH",,,,,0.1,0.076,39.0,13.0,2.0,31.0,13.1,,,,2006
45780,"Toledo, OH",,,,,0.09,0.075,63.0,19.0,5.0,27.0,12.7,67.0,22.0,,2006
48260,"Weirton-Steubenville, WV-OH",15.9,4.4,,,0.1,0.08,179.0,49.0,13.0,37.0,15.2,108.0,28.0,,2006
48540,"Wheeling, WV-OH",,,,,0.09,0.079,147.0,35.0,11.0,35.0,14.5,,,,2006
48940,"Wilmington, OH",,,,,0.09,0.081,,,,,,,,,2006
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.1,0.082,60.0,19.0,5.0,31.0,13.5,43.0,21.0,,2006
10420,"Akron, OH",2.5,1.4,,,0.1,0.09,57.0,17.0,4.0,33.0,15.4,,,,2007
11780,"Ashtabula, OH",,,,,0.11,0.092,31.0,14.0,3.0,,,,,,2007
11900,"Athens, OH",,,29.0,6.0,0.09,0.08,88.0,20.0,5.0,37.0,13.0,,,,2007
13340,"Bellefontaine, OH",,,,,,,,,,,,,,,2007
15940,"Canton-Massillon, OH",2.1,1.7,,,0.11,0.087,,,,,,,,,2007
17140,"Cincinnati, OH-KY-IN",4.1,2.8,56.0,17.0,0.11,0.091,99.0,22.0,5.0,37.0,16.6,55.0,26.0,,2007
17460,"Cleveland-Elyria, OH",6.7,2.9,61.0,20.0,0.11,0.083,176.0,53.0,8.0,39.0,15.8,100.0,34.0,,2007
18140,"Columbus, OH",2.3,1.6,,,0.1,0.087,33.0,12.0,3.0,36.0,14.7,76.0,36.0,,2007
19380,"Dayton, OH",4.2,1.6,,,0.09,0.077,,,,37.0,15.6,59.0,27.0,,2007
22300,"Findlay, OH",,,,,,,,,,,,35.0,22.0,,2007
26580,"Huntington-Ashland, WV-KY-OH",,,39.0,11.0,0.11,0.089,66.0,21.0,6.0,39.0,16.7,94.0,39.0,,2007
30620,"Lima, OH",,,,,0.09,0.078,19.0,11.0,2.0,,,35.0,23.0,,2007
31930,"Marietta, OH",,,,,0.1,0.086,,,,,,,,,2007
34540,"Mount Vernon, OH",,,,,0.09,0.08,,,,,,,,,2007
35420,"New Philadelphia-Dover, OH",,,,,,,75.0,26.0,6.0,,,,,,2007
39020,"Portsmouth, OH",,,,,,,42.0,14.0,4.0,38.0,14.0,83.0,26.0,,2007
41400,"Salem, OH",,,,,,,128.0,23.0,4.0,,,58.0,28.0,,2007
44220,"Springfield, OH",,,,,0.1,0.078,31.0,12.0,2.0,37.0,14.6,,,,2007
45780,"Toledo, OH",,,,,0.11,0.083,75.0,25.0,6.0,35.0,14.9,94.0,24.0,,2007
48260,"Weirton-Steubenville, WV-OH",9.7,4.9,,,0.09,0.079,208.0,60.0,12.0,50.0,19.2,84.0,30.0,,2007
48540,"Wheeling, WV-OH",,,,,0.1,0.08,161.0,39.0,11.0,38.0,15.2,,,,2007
48940,"Wilmington, OH",,,,,0.1,0.082,,,,,,,,,2007
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.1,0.084,58.0,17.0,5.0,35.0,14.2,50.0,22.0,,2007
10420,"Akron, OH",1.9,1.3,,,0.09,0.08,37.0,15.0,3.0,38.0,13.8,,,,2008
11780,"Ashtabula, OH",,,,,0.09,0.075,36.0,13.0,3.0,,,,,,2008
11900,"Athens, OH",,,29.0,5.0,0.08,0.069,76.0,18.0,4.0,,,,,,2008
13340,"Bellefontaine, OH",,,,,,,,,,,,,,,2008
15940,"Canton-Massillon, OH",2.9,2.5,,,0.09,0.077,,,,,,,,,2008
17140,"Cincinnati, OH-KY-IN",5.1,2.7,58.0,16.0,0.11,0.086,83.0,19.0,4.0,35.0,15.3,47.0,23.0,,2008
17460,"Cleveland-Elyria, OH",7.5,4.8,58.0,17.0,0.1,0.083,164.0,39.0,7.0,40.0,14.6,95.0,36.0,,2008
18140,"Columbus, OH",2.5,1.6,,,0.09,0.083,29.0,11.0,2.0,33.0,13.0,79.0,31.0,,2008
19380,"Dayton, OH",2.3,1.5,,,0.09,0.077,,,,31.0,13.2,47.0,22.0,,2008
22300,"Findlay, OH",,,,,,,,,,,,30.0,20.0,,2008
26580,"Huntington-Ashland, WV-KY-OH",,,42.0,10.0,0.1,0.082,50.0,21.0,8.0,27.0,14.1,88.0,31.0,,2008
30620,"Lima, OH",,,,,0.08,0.067,20.0,8.0,2.0,,,28.0,19.0,,2008
31930,"Marietta, OH",,,,,0.09,0.078,,,,,,,,,2008
34540,"Mount Vernon, OH",,,,,0.09,0.074,,,,,,,,,2008
35420,"New Philadelphia-Dover, OH",,,,,,,64.0,20.0,5.0,,,,,,2008
39020,"Portsmouth, OH",,,,,,,39.0,15.0,5.0,24.0,12.1,55.0,22.0,,2008
41400,"Salem, OH",,,,,,,111.0,39.0,4.0,,,55.0,26.0,,2008
44220,"Springfield, OH",,,,,0.09,0.075,24.0,8.0,2.0,29.0,12.7,,,,2008
45780,"Toledo, OH",,,,,0.09,0.073,,,,32.0,12.3,88.0,21.0,,2008
48260,"Weirton-Steubenville, WV-OH",4.3,2.3,,,0.09,0.077,168.0,55.0,11.0,39.0,15.5,64.0,25.0,,2008
48540,"Wheeling, WV-OH",,,,,0.08,0.072,113.0,29.0,9.0,29.0,13.1,,,,2008
48940,"Wilmington, OH",,,,,0.1,0.076,,,,,,,,,2008
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.1,0.078,60.0,16.0,4.0,32.0,13.2,48.0,21.0,,2008
10420,"Akron, OH",5.8,2.1,,,0.08,0.071,35.0,13.0,2.0,26.0,11.6,,,,2009
11780,"Ashtabula, OH",,,,,0.09,0.075,34.0,12.0,3.0,,,,,,2009
11900,"Athens, OH",1.3,1.2,27.0,4.0,0.08,0.067,58.0,22.0,4.0,18.0,9.1,,,,2009
13340,"Bellefontaine, OH",,,,,,,,,,,,,,,2009
15940,"Canton-Massillon, OH",1.8,1.4,,,0.08,0.066,,,,28.0,11.9,,,,2009
17140,"Cincinnati, OH-KY-IN",1.9,1.1,50.0,14.0,0.09,0.077,60.0,18.0,2.0,31.0,13.9,42.0,20.0,,2009
17460,"Cleveland-Elyria, OH",17.3,6.6,,17.0,0.09,0.072,186.0,70.0,10.0,30.0,12.9,74.0,34.0,,2009
18140,"Columbus, OH",2.2,1.5,,,0.08,0.073,,,,26.0,11.5,56.0,26.0,,2009
19380,"Dayton, OH",2.3,1.6,,,0.08,0.073,,,,27.0,12.4,44.0,20.0,,2009
22300,"Findlay, OH",,,,,,,,,,,,36.0,18.0,,2009
23380,"Fremont, OH",,,,,,,,,,,,,,,2009
26580,"Huntington-Ashland, WV-KY-OH",,,36.0,9.0,0.08,0.066,80.0,20.0,4.0,29.0,12.0,49.0,24.0,,2009
31930,"Marietta, OH",,,,,0.07,0.067,,,,,,,,,2009
34540,"Mount Vernon, OH",,,,,0.08,0.068,,,,,,,,,2009
35420,"New Philadelphia-Dover, OH",,,,,,,64.0,22.0,4.0,,,,,,2009
39020,"Portsmouth, OH",,,,,,,36.0,12.0,4.0,22.0,10.9,54.0,20.0,,2009
41400,"Salem, OH",,,,,,,113.0,27.0,4.0,,,47.0,25.0,,2009
44220,"Springfield, OH",,,,,0.08,0.072,27.0,13.0,3.0,26.0,12.4,,,,2009
45780,"Toledo, OH",,,,,0.09,0.072,,,,29.0,11.4,66.0,21.0,,2009
48260,"Weirton-Steubenville, WV-OH",1.8,1.1,,,0.08,0.067,143.0,96.0,8.0,48.0,12.2,50.0,23.0,,2009
48540,"Wheeling, WV-OH",,,,,0.08,0.071,74.0,22.0,6.0,26.0,12.2,,,,2009
48940,"Wilmington, OH",,,,,0.08,0.07,,,,,,,,,2009
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.08,0.07,54.0,17.0,4.0,28.0,11.7,42.0,19.0,,2009
10420,"Akron, OH",2.2,1.7,,,0.08,0.076,38.0,23.0,2.0,32.0,13.2,,,,2010
11780,"Ashtabula, OH",,,,,0.09,0.083,20.0,8.0,2.0,,,,,,2010
11900,"Athens, OH",,,26.0,4.0,0.08,0.07,71.0,17.0,5.0,,,,,,2010
13340,"Bellefontaine, OH",,,,,,,,,,,,,,0.01,2010
15940,"Canton-Massillon, OH",1.8,1.5,,,0.1,0.08,,,,42.0,15.0,,,0.02,2010
17140,"Cincinnati, OH-KY-IN",1.3,0.9,54.0,15.0,0.1,0.08,99.0,17.0,4.0,35.0,15.0,59.0,25.0,0.01,2010
17460,"Cleveland-Elyria, OH",8.8,3.5,58.0,16.0,0.1,0.081,139.0,49.0,8.0,33.0,14.0,72.0,31.0,0.53,2010
18140,"Columbus, OH",2.7,1.7,,,0.09,0.077,,,,34.0,13.1,126.0,32.0,0.01,2010
19380,"Dayton, OH",2.5,1.6,,,0.09,0.077,,,,30.0,14.0,45.0,23.0,,2010
22300,"Findlay, OH",,,,,,,,,,,,42.0,19.0,,2010
26580,"Huntington-Ashland, WV-KY-OH",,,37.0,8.0,0.09,0.074,44.0,17.0,3.0,28.0,13.2,90.0,30.0,,2010
30620,"Lima, OH",,,,,0.08,0.072,23.0,7.0,2.0,,,42.0,21.0,,2010
31930,"Marietta, OH",,,,,0.09,0.076,,,,,,,,0.02,2010
34540,"Mount Vernon, OH",,,,,0.09,0.073,,,,,,,,,2010
35420,"New Philadelphia-Dover, OH",,,,,,,58.0,18.0,4.0,,,,,,2010
39020,"Portsmouth, OH",,,,,,,52.0,13.0,2.0,26.0,12.0,50.0,21.0,,2010
41400,"Salem, OH",,,,,,,47.0,22.0,3.0,,,56.0,24.0,0.06,2010
44220,"Springfield, OH",,,,,0.09,0.075,28.0,12.0,1.0,30.0,13.1,,,,2010
45780,"Toledo, OH",,,,,0.09,0.075,,,,39.0,11.7,87.0,24.0,0.08,2010
48260,"Weirton-Steubenville, WV-OH",1.6,0.8,,,0.09,0.076,143.0,42.0,9.0,38.0,14.4,63.0,30.0,,2010
48540,"Wheeling, WV-OH",,,,,0.09,0.076,101.0,20.0,7.0,34.0,14.1,,,,2010
48940,"Wilmington, OH",,,,,0.09,0.076,,,,,,,,,2010
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.09,0.076,48.0,13.0,2.0,33.0,12.8,49.0,22.0,,2010
10420,"Akron, OH",1.6,1.4,,,0.09,0.076,40.0,18.0,3.0,27.0,11.6,,,,2011
11780,"Ashtabula, OH",,,,,0.09,0.077,19.0,10.0,2.0,,,,,,2011
11900,"Athens, OH",,,20.0,3.0,0.08,0.071,,,,19.0,8.7,,,,2011
13340,"Bellefontaine, OH",,,,,,,,,,,,,,0.0,2011
15940,"Canton-Massillon, OH",2.1,1.6,,,0.09,0.081,,,,28.0,12.8,,,0.02,2011
17140,"Cincinnati, OH-KY-IN",6.4,1.8,46.0,13.0,0.11,0.088,109.0,29.0,3.0,30.0,13.3,54.0,20.0,0.01,2011
17460,"Cleveland-Elyria, OH",5.5,3.1,50.0,15.0,0.1,0.081,145.0,55.0,7.0,28.0,12.6,122.0,37.0,0.41,2011
18140,"Columbus, OH",2.3,1.5,,,0.1,0.087,,,,27.0,11.9,77.0,23.0,0.01,2011
19380,"Dayton, OH",9.2,2.8,,,0.09,0.08,,,,29.0,12.2,44.0,20.0,,2011
26580,"Huntington-Ashland, WV-KY-OH",,,,,0.09,0.074,49.0,14.0,2.0,26.0,11.2,99.0,28.0,0.0,2011
30620,"Lima, OH",,,,,0.08,0.073,14.0,7.0,1.0,,,,,,2011
31930,"Marietta, OH",,,,,0.1,0.071,,,,,,,,0.01,2011
32020,"Marion, OH",,,,,,,,,,,,,,0.06,2011
34540,"Mount Vernon, OH",,,,,0.09,0.079,,,,,,,,,2011
35420,"New Philadelphia-Dover, OH",,,,,,,55.0,16.0,4.0,,,,,,2011
39020,"Portsmouth, OH",,,,,,,43.0,12.0,2.0,21.0,10.1,57.0,19.0,,2011
41400,"Salem, OH",,,,,,,27.0,9.0,2.0,,,39.0,20.0,0.05,2011
44220,"Springfield, OH",,,,,0.09,0.077,22.0,9.0,1.0,28.0,12.3,,,,2011
45780,"Toledo, OH",,,,,0.09,0.074,,,,26.0,11.4,75.0,20.0,0.18,2011
47920,"Washington Court House, OH",,,,,0.09,0.075,,,,,,,,,2011
48260,"Weirton-Steubenville, WV-OH",2.3,1.0,,,0.08,0.073,143.0,33.0,7.0,29.0,12.6,42.0,21.0,,2011
48540,"Wheeling, WV-OH",,,,,0.09,0.074,79.0,19.0,6.0,29.0,12.6,,,,2011
48940,"Wilmington, OH",,,,,0.1,0.084,,,,,,,,,2011
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.09,0.078,40.0,12.0,2.0,26.0,11.3,35.0,18.0,0.01,2011
10420,"Akron, OH",1.5,1.1,,,0.08,0.074,47.0,16.0,3.0,22.0,10.9,,,,2012
11780,"Ashtabula, OH",,,,,0.1,0.079,53.0,9.0,1.0,,,,,,2012
11900,"Athens, OH",,,,,,,,,,16.0,8.7,,,,2012
15940,"Canton-Massillon, OH",1.8,1.6,,,0.09,0.077,,,,27.0,12.3,,,0.02,2012
17140,"Cincinnati, OH-KY-IN",,1.0,29.0,4.0,0.11,0.091,85.0,32.0,2.0,28.0,13.9,105.0,49.0,0.01,2012
17460,"Cleveland-Elyria, OH",7.5,4.6,48.0,14.0,0.11,0.089,163.0,55.0,5.0,29.0,12.3,189.0,51.0,0.03,2012
18140,"Columbus, OH",2.6,1.6,,,0.11,0.082,,,,22.0,10.9,62.0,29.0,0.01,2012
19380,"Dayton, OH",2.0,1.3,,,0.1,0.079,,,,24.0,11.0,39.0,22.0,0.01,2012
26580,"Huntington-Ashland, WV-KY-OH",,,30.0,6.0,0.1,0.076,16.0,8.0,3.0,22.0,11.3,92.0,31.0,0.0,2012
30620,"Lima, OH",,,,,0.09,0.079,12.0,4.0,1.0,21.0,10.0,,,,2012
31930,"Marietta, OH",,,,,0.09,0.075,,,,,,,,0.01,2012
32020,"Marion, OH",,,,,,,,,,,,,,0.09,2012
34540,"Mount Vernon, OH",,,,,0.09,0.074,,,,,,,,,2012
39020,"Portsmouth, OH",,,,,,,23.0,5.0,1.0,20.0,9.9,34.0,18.0,,2012
41400,"Salem, OH",,,,,,,22.0,6.0,1.0,,,36.0,19.0,0.02,2012
44220,"Springfield, OH",,,,,0.1,0.077,18.0,9.0,2.0,22.0,10.4,,,,2012
45780,"Toledo, OH",,,,,0.1,0.083,,,,25.0,10.1,,,0.08,2012
47920,"Washington Court House, OH",,,,,0.09,0.077,,,,,,,,,2012
48260,"Weirton-Steubenville, WV-OH",1.5,1.0,,,0.09,0.077,117.0,41.0,6.0,27.0,11.8,47.0,26.0,,2012
48540,"Wheeling, WV-OH",,,,,0.09,0.074,55.0,19.0,7.0,24.0,11.8,,,,2012
48940,"Wilmington, OH",,,,,0.11,0.086,,,,,,,,,2012
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.1,0.087,43.0,13.0,2.0,23.0,10.9,37.0,20.0,0.01,2012
10420,"Akron, OH",1.3,0.8,,,0.07,0.06,59.0,19.0,3.0,25.0,10.9,,,,2013
11780,"Ashtabula, OH",,,,,0.08,0.07,29.0,6.0,1.0,,,,,,2013
11900,"Athens, OH",,,,,,,,,,16.0,8.1,,,,2013
13340,"Bellefontaine, OH",,,,,,,,,,,,,,0.0,2013
15940,"Canton-Massillon, OH",1.3,0.9,,,0.08,0.07,,,,28.0,12.0,,,0.02,2013
17140,"Cincinnati, OH-KY-IN",1.5,0.9,33.0,12.0,0.09,0.072,71.0,21.0,3.0,26.0,13.3,106.0,42.0,0.01,2013
17460,"Cleveland-Elyria, OH",7.8,4.6,53.0,13.0,0.08,0.07,119.0,31.0,4.0,26.0,12.2,95.0,41.0,0.06,2013
18140,"Columbus, OH",1.6,1.0,,,0.08,0.073,13.0,5.0,1.0,24.0,10.7,41.0,22.0,0.01,2013
19380,"Dayton, OH",1.8,1.2,,,0.09,0.07,16.0,5.0,1.0,23.0,10.9,32.0,18.0,0.01,2013
26580,"Huntington-Ashland, WV-KY-OH",,,30.0,6.0,0.08,0.065,22.0,16.0,2.0,20.0,9.4,74.0,23.0,0.01,2013
30620,"Lima, OH",,,,,0.08,0.068,7.0,4.0,1.0,,,,,,2013
31930,"Marietta, OH",,,,,0.08,0.063,,,,,,,,0.01,2013
32020,"Marion, OH",,,,,,,,,,,,,,0.03,2013
34540,"Mount Vernon, OH",,,,,0.08,0.067,,,,,,,,,2013
39020,"Portsmouth, OH",,,,,,,14.0,4.0,1.0,18.0,9.4,40.0,17.0,,2013
41400,"Salem, OH",,,,,,,,,,,,31.0,17.0,0.02,2013
44220,"Springfield, OH",,,,,0.08,0.071,17.0,8.0,1.0,24.0,10.1,,,,2013
45780,"Toledo, OH",,,,,0.08,0.068,29.0,8.0,,22.0,10.2,,,0.06,2013
47920,"Washington Court House, OH",,,,,0.08,0.064,,,,,,,,,2013
48260,"Weirton-Steubenville, WV-OH",1.9,1.3,,,0.08,0.069,62.0,19.0,5.0,27.0,11.0,46.0,25.0,,2013
48540,"Wheeling, WV-OH",,,,,0.08,0.063,33.0,10.0,2.0,25.0,10.4,,,,2013
48940,"Wilmington, OH",,,,,0.08,0.064,,,,,,,,,2013
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.08,0.069,27.0,7.0,1.0,25.0,10.9,39.0,19.0,0.01,2013
10420,"Akron, OH",1.4,0.8,,,0.07,0.061,21.0,7.0,2.0,24.0,10.8,,,,2014
11780,"Ashtabula, OH",,,,,0.08,0.069,17.0,6.0,2.0,,,,,,2014
11900,"Athens, OH",,,,,,,,,,18.0,7.8,,,,2014
13340,"Bellefontaine, OH",,,,,,,,,,,,,,0.0,2014
15940,"Canton-Massillon, OH",1.5,1.1,,,0.08,0.065,,,,25.0,11.6,,,,2014
17140,"Cincinnati, OH-KY-IN",1.1,1.1,59.0,23.0,0.09,0.073,71.0,17.0,2.0,28.0,13.3,75.0,32.0,0.01,2014
17460,"Cleveland-Elyria, OH",7.1,3.7,48.0,12.0,0.08,0.075,80.0,22.0,4.0,27.0,12.5,93.0,38.0,0.03,2014
18140,"Columbus, OH",1.8,1.3,51.0,12.0,0.08,0.07,17.0,6.0,0.0,24.0,10.9,46.0,23.0,,2014
19380,"Dayton, OH",1.4,1.0,,,0.08,0.069,26.0,7.0,1.0,25.0,10.1,35.0,19.0,0.01,2014
26580,"Huntington-Ashland, WV-KY-OH",,,32.0,6.0,0.08,0.065,19.0,6.0,1.0,22.0,9.3,36.0,20.0,0.01,2014
30620,"Lima, OH",,,,,0.07,0.066,13.0,5.0,1.0,,,,,,2014
31930,"Marietta, OH",,,,,0.08,0.063,,,,,,,,0.0,2014
32020,"Marion, OH",,,,,,,,,,,,,,0.03,2014
34540,"Mount Vernon, OH",,,,,0.08,0.066,,,,,,,,,2014
39020,"Portsmouth, OH",,,,,,,45.0,16.0,3.0,16.0,8.2,70.0,17.0,,2014
41400,"Salem, OH",,,,,,,23.0,8.0,2.0,,,37.0,18.0,0.02,2014
44220,"Springfield, OH",,,,,0.08,0.065,19.0,7.0,1.0,25.0,10.5,,,,2014
45780,"Toledo, OH",,,,,0.08,0.07,,,,29.0,10.6,,,0.09,2014
47920,"Washington Court House, OH",,,,,0.08,0.069,,,,,,,,,2014
48260,"Weirton-Steubenville, WV-OH",1.6,0.8,,,0.08,0.067,48.0,27.0,5.0,27.0,11.2,45.0,21.0,,2014
48540,"Wheeling, WV-OH",,,,,0.07,0.066,43.0,15.0,3.0,21.0,10.5,,,,2014
48940,"Wilmington, OH",,,,,0.09,0.07,,,,,,,,,2014
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.08,0.071,44.0,13.0,1.0,22.0,11.3,28.0,17.0,,2014
10420,"Akron, OH",2.6,2.1,,,0.07,0.065,14.0,4.0,1.0,28.0,13.8,,,,2015
11780,"Ashtabula, OH",,,,,0.09,0.07,37.0,7.0,2.0,,,,,,2015
11900,"Athens, OH",,,,,,,,,,16.0,7.4,,,,2015
13340,"Bellefontaine, OH",,,,,,,,,,,,,,0.0,2015
15940,"Canton-Massillon, OH",1.8,1.4,,,0.08,0.072,,,,26.0,12.4,,,,2015
17140,"Cincinnati, OH-KY-IN",2.0,1.3,57.0,22.0,0.09,0.072,54.0,12.0,2.0,23.0,12.5,82.0,38.0,0.01,2015
17460,"Cleveland-Elyria, OH",5.8,2.9,50.0,13.0,0.08,0.074,89.0,31.0,3.0,27.0,13.3,86.0,42.0,0.03,2015
18140,"Columbus, OH",2.1,1.5,48.0,12.0,0.08,0.071,6.0,2.0,0.0,24.0,10.9,,,0.01,2015
19380,"Dayton, OH",1.6,1.1,,,0.08,0.071,25.0,5.0,1.0,22.0,10.3,41.0,19.0,,2015
26580,"Huntington-Ashland, WV-KY-OH",,,35.0,6.0,0.08,0.069,16.0,5.0,1.0,27.0,10.9,57.0,25.0,0.01,2015
30620,"Lima, OH",,,,,0.08,0.064,10.0,3.0,0.0,,,,,,2015
31930,"Marietta, OH",,,,,0.08,0.068,,,,,,,,0.0,2015
32020,"Marion, OH",,,,,,,,,,,,,,0.03,2015
34540,"Mount Vernon, OH",,,,,0.08,0.071,,,,,,,,,2015
39020,"Portsmouth, OH",,,,,,,20.0,9.0,2.0,23.0,8.7,53.0,17.0,,2015
41400,"Salem, OH",,,,,,,15.0,7.0,1.0,,,43.0,20.0,0.01,2015
44220,"Springfield, OH",,,,,0.08,0.071,13.0,5.0,0.0,20.0,9.6,,,,2015
45780,"Toledo, OH",,,,,0.08,0.064,,,,24.0,10.7,,,0.07,2015
47920,"Washington Court House, OH",,,,,0.08,0.07,,,,,,,,,2015
48260,"Weirton-Steubenville, WV-OH",1.1,0.7,,,0.08,0.069,50.0,24.0,3.0,29.0,13.2,45.0,22.0,,2015
48540,"Wheeling, WV-OH",,0.5,,,0.08,0.069,38.0,12.0,2.0,24.0,10.6,,,,2015
48940,"Wilmington, OH",,,,,0.08,0.07,,,,,,,,,2015
49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.08,0.07,32.0,7.0,1.0,26.0,11.0,41.0,19.0,,2015
10420,"Akron, OH",1.4,1.1,,,0.09,0.061,10.0,3.0,0.0,22.0,10.2,,,,2016
